      -------Part 1--------   -------Part 2--------
Day       Time  Rank  Score       Time  Rank  Score
 25   00:39:47   959      0   00:39:52   832      0
 24   01:23:39  2234      0   07:31:47  2976      0
 23   00:15:17   373      0   00:40:11   112      0
 22   00:39:56   663      0   01:16:36  1167      0
 21   00:09:32   696      0   11:55:24  4986      0
 20   00:48:38   911      0   01:14:24   658      0
 19   00:19:58   721      0   02:35:50  3146      0
 18   00:30:44  1633      0   01:54:39  2431      0
 17   00:50:17  1274      0   01:08:24  1273      0
 16   00:46:02  2825      0   01:00:33  2896      0
 15   00:03:30   517      0   00:18:09   704      0
 14   00:12:35  1702      0   00:58:50  2286      0
 13   00:30:00  2149      0   01:01:43  2814      0
 12   00:23:12  1097      0   04:34:51  4388      0
 11   00:14:13  1066      0   00:51:32  4458      0
 10   00:24:09   842      0   03:53:35  5248      0
  9   00:10:32  1382      0   00:11:19   828      0
  8   00:05:59   699      0   00:16:43   434      0
  7   00:33:04  3008      0   00:41:41  1925      0
  6   00:04:38   400      0   00:05:53   199      0
  5   00:19:06  1197      0   01:35:57  3236      0
  4   00:05:12   802      0   00:13:14   838      0
  3   00:29:55  3090      0   00:41:19  2557      0
  2   00:09:35  1139      0   00:14:21  1396      0
  1   00:08:58  4418      0   00:25:05  2498      0
