      -------Part 1--------   -------Part 2--------
Day       Time  Rank  Score       Time  Rank  Score
 25   00:09:20   636      0   00:09:24   524      0
 24   00:24:46  1989      0   03:26:21  1932      0
 23   00:10:37  1141      0   00:20:04   748      0
 22   00:05:28   461      0   00:17:36   232      0
 21   03:56:39  3249      0   07:10:41  2955      0
 20   01:00:47  3250      0   02:24:19  3487      0
 19   00:10:31  1363      0   00:13:27  1004      0
 18   00:08:44   577      0   00:16:22   848      0
 17   00:19:16   991      0   02:06:39  1556      0
 16   00:14:51   835      0   00:28:33   629      0
 15   00:22:15  1190      0   01:03:21  1186      0
 14   00:18:37  1810      0   00:37:49  1210      0
 13   00:05:11   197      0   00:37:47  1474      0
 12   00:21:54  2317      0   00:45:17  1247      0
 11   00:14:06  3795      0   00:14:23   753      0
 10   00:06:55   549      0   00:13:27  1030      0
  9   00:29:07  3589      0   01:14:14  3423      0
  8   00:26:32  3638      0   01:04:43  6086      0
  7   00:05:49   574      0   00:07:28   401      0
  6   00:07:06   576      0   00:12:15   237      0
  5   00:18:46  3701      0   00:35:29  3829      0
  4   00:07:27  1041      0   00:22:59  2225      0
  3   00:24:45  9453      0   00:49:10  9240      0
  2   00:06:04   878      0   00:14:54  1760      0
  1   00:04:29  1661      0   00:05:29   928      0
