      -------Part 1--------   -------Part 2--------
Day       Time  Rank  Score       Time  Rank  Score
 25   00:17:38  1203      0   00:17:42   996      0
 24   00:23:25  1346      0   01:16:30  2173      0
 23   00:53:38  2257      0   05:54:44  3658      0
 22   00:12:06  1506      0   00:44:03  1047      0
 21   00:16:18   305      0   00:19:34   189      0
 20   02:59:02  3261      0   04:06:12  1233      0
 19   05:25:02  5803      0   06:42:59  4418      0
 18   00:36:42  1915      0   01:15:29  2452      0
 17   00:52:28  2312      0   00:55:29  1952      0
 16   00:30:36  3575      0   00:55:08  1571      0
 15   00:20:42  2177      0   02:06:54  6577      0
 14   00:39:42  3734      0   01:15:14  3133      0
 13   00:07:48  1002      0   01:05:53  1629      0
 12   00:40:51  5242      0   00:52:05  3376      0
 11   00:14:54   555      0   00:44:44  1841      0
 10   00:08:45  1705      0   00:47:10  2489      0
  9   00:06:58  1046      0   00:11:42   676      0
  8   00:09:39  2126      0   00:16:55  1165      0
  7   00:13:34   404      0   00:27:55   838      0
  6   00:04:44   934      0   00:10:28  1260      0
  5   00:10:28  1328      0   00:15:30  1384      0
  4   00:08:40  1040      0   00:31:50  1466      0
  3   00:08:34  1852      0   00:13:45  1762      0
  2   00:08:20  1767      0   00:15:05  2089      0
  1   00:07:45   999      0   00:08:41   591      0
